ingredient_name,e_number,regulatory_category,our_category,type,harm_level,source,reference,harm_justification,scientific_references,regulatory_status
with baking powder as color,,Leavening agent,leavening_agent,natural,VERY_LOW,FDA GRAS,21 CFR 182.1,Leavening agent used in baking. Generally recognized as safe.,FDA GRAS,Approved: worldwide
a-123,E123,Color,harmful_color,artificial,HIGH,EFSA,E123,Amaranth red dye banned in US since 1976 due to cancer concerns in animal studies. Still used in EU with restrictions.,"FDA Banned 1976, EFSA Journal 2010;8(7):1649","Banned: US, Russia; Approved: EU (restricted), Canada"
acedity regulators [330 & 331(iii)],,Crowdsourced,moderate_preservative,processed,MEDIUM,Firebase,"Product: , Verified: 3 users",Crowdsourced ingredient from verified products. Classified heuristically as moderate_preservative. Needs expert review.,"Crowdsourced data, no official references",Unknown
including 172,E172,Color,moderate_color,processed,MEDIUM,EFSA,E172,Color additive with acceptable safety profile but some processing concerns.,EFSA/FDA approved with ADI,"Approved: EU, US, Canada"
polysrbate 60,,Emulsifier,moderate_preservative,processed,MEDIUM,FDA GRAS,21 CFR 172.836,Approved preservative with established ADI. Generally well-tolerated but some sensitivity reported.,EFSA/FDA approved with ADI,"Approved: EU, US, Canada"
tbhq added as preservative,E319,Antioxidant,harmful_preservative,artificial,HIGH,EFSA,E319,"TBHQ (tert-Butylhydroquinone) synthetic antioxidant. Studies link to immune system effects, possible carcinogen. EFSA ADI 0.7 mg/kg/day.","EFSA Journal 2016;14(7):4523, FDA 21 CFR 172.185","Approved: EU, US; Not approved: Japan, Canada (debate)"
karay agum,E416,Stabilizer,emulsifier_stabilizer,processed,LOW,EFSA,E416,Emulsifier/stabilizer approved for food use. Generally safe in approved quantities.,EFSA/FDA GRAS or approved additive,"Approved: EU, US, Canada"
with sodium sorbate,E201,Preservative,natural_preservative,natural,VERY_LOW,EFSA,E201,"Natural preservative, generally safe with low toxicity. EFSA approved with ADI or no ADI needed.",EFSA/FDA GRAS,"Approved: EU, US, Canada"
INS 950,E950,Sweetener,artificial_sweetener,artificial,MEDIUM,EFSA,E950,Acesulfame K approved by EFSA with ADI of 9 mg/kg/day. Some studies suggest potential gut microbiome effects.,"EFSA Journal 2000;1800, FDA GRAS Notice GRN 000037","Approved: EU, US, Canada"
raising agents (503(ii) & 500(ii)) nature identical and artificial (mixed fruit added,,Crowdsourced,other,unknown,UNKNOWN,Firebase,"Product: , Verified: 3 users",Crowdsourced ingredient from verified products. Classified heuristically as other. Needs expert review.,"Crowdsourced data, no official references",Unknown
INS 321,E321,Antioxidant,harmful_preservative,artificial,HIGH,EFSA,E321,BHT (Butylated hydroxytoluene) potential endocrine disruptor. Studies show conflicting results on carcinogenicity. EFSA re-evaluating.,"EFSA Journal 2012;10(3):2588, EWG Score: 5/10","Approved: EU, US, Canada; Under review"
utremric,,Color,natural_color,natural,VERY_LOW,FDA GRAS,21 CFR 73.600,"Natural color additive from plant/mineral sources. Generally safe, some may cause allergies.",EFSA/FDA approved,"Approved: EU, US, Canada"
added sodium salts of fatty acids,E470a,Emulsifier,emulsifier_stabilizer,processed,LOW,EFSA,E470a,Emulsifier/stabilizer approved for food use. Generally safe in approved quantities.,EFSA/FDA GRAS or approved additive,"Approved: EU, US, Canada"
ins-171 as preservative,E171,Color,moderate_color,processed,MEDIUM,EFSA,E171,Color additive with acceptable safety profile but some processing concerns.,EFSA/FDA approved with ADI,"Approved: EU, US, Canada"
E.966,E966,Sweetener,sugar_alcohol,processed,MEDIUM,EFSA,E966,Sugar alcohol approved as sweetener. Can cause digestive discomfort (laxative effect) in large amounts.,EFSA/FDA approved with warnings,"Approved: EU, US, Canada; Laxative warning required"
E.132,E132,Color,harmful_color,artificial,HIGH,EFSA,E132,Synthetic azo dye linked to hyperactivity in children (Southampton Study). EU requires warning label. Allergic reactions reported.,"McCann 2007 (Lancet), EFSA re-evaluation","Approved: EU (warning required); Some banned in Norway, US"
INS-249,E249,Preservative,very_harmful_preservative,artificial,VERY_HIGH,EFSA,E249,Potassium nitrite can form carcinogenic nitrosamines in meat. IARC Group 2A (probably carcinogenic). EFSA lowered ADI to 0.07 mg/kg/day.,"EFSA Journal 2017;15(6):4786, IARC Monograph 94","Approved: EU, US, Canada; Restricted quantities; Cancer link"
Vinagar,,Preservative,natural_preservative,natural,VERY_LOW,FDA GRAS,21 CFR 184.1005,"Natural preservative, generally safe with low toxicity. EFSA approved with ADI or no ADI needed.",EFSA/FDA GRAS,"Approved: EU, US, Canada"
150a,E150a,Color,moderate_color,processed,MEDIUM,EFSA,E150a,Color additive with acceptable safety profile but some processing concerns.,EFSA/FDA approved with ADI,"Approved: EU, US, Canada"
INS 151,E151,Color,harmful_color,artificial,HIGH,EFSA,E151,Synthetic azo dye linked to hyperactivity in children (Southampton Study). EU requires warning label. Allergic reactions reported.,"McCann 2007 (Lancet), EFSA re-evaluation","Approved: EU (warning required); Some banned in Norway, US"
INS 962,E962,Sweetener,artificial_sweetener,artificial,MEDIUM,EFSA,E962,Artificial sweetener with regulatory approval. Potential effects on gut microbiome and metabolism under research.,EFSA/FDA approved,"Approved: EU, US, Canada"
Thautin,E957,Sweetener,natural_sweetener,natural,LOW,EFSA,E957,Thaumatin natural protein sweetener from katemfe fruit. EFSA no ADI needed (safe). Used in small quantities.,EFSA Journal 2015;13(11):4290,"Approved: EU, US, Canada"
Polysorbate 60 As Preservative,,Emulsifier,moderate_preservative,processed,MEDIUM,FDA GRAS,21 CFR 172.836,Approved preservative with established ADI. Generally well-tolerated but some sensitivity reported.,EFSA/FDA approved with ADI,"Approved: EU, US, Canada"
INS 280,E280,Preservative,moderate_preservative,processed,MEDIUM,EFSA,E280,Approved preservative with established ADI. Generally well-tolerated but some sensitivity reported.,EFSA/FDA approved with ADI,"Approved: EU, US, Canada"
high fructse corn syrup,,Sweetener,refined_sugar,processed,MEDIUM,FDA GRAS,21 CFR 184.1866,"Refined sugar. GRAS but linked to obesity, diabetes, cardiovascular disease when consumed in excess.","WHO recommends <10% daily calories, FDA GRAS",Approved: worldwide; Health warnings in some countries
baking soad,,Leavening agent,leavening_agent,natural,VERY_LOW,FDA GRAS,21 CFR 184.1736,Leavening agent used in baking. Generally recognized as safe.,FDA GRAS,Approved: worldwide
INS 620,E620,Flavor enhancer,flavor_enhancer,processed,MEDIUM,EFSA,E620,Flavor enhancer approved by regulators. Some consumers report sensitivity symptoms.,EFSA/FDA approved,"Approved: EU, US, Canada; Labeling required"
E968,E968,Sweetener,natural_sweetener,natural,LOW,EFSA,E968,Natural-origin sweetener. Generally recognized as safe with established ADI.,EFSA/FDA GRAS status,"Approved: EU, US, Canada"
hoany,,Sweetener,natural_sugar,natural,LOW,FDA GRAS,21 CFR 184.1410,Natural sugar source. Contains some micronutrients but still high glycemic impact.,"FDA GRAS, WHO sugar guidelines apply",Approved: worldwide
INS280,E280,Preservative,moderate_preservative,processed,MEDIUM,EFSA,E280,Approved preservative with established ADI. Generally well-tolerated but some sensitivity reported.,EFSA/FDA approved with ADI,"Approved: EU, US, Canada"
tartaric acid content content,,Acid,acid,natural,VERY_LOW,FDA GRAS,21 CFR 184.1099,"Food acid used for flavor, preservation, pH control. Generally safe.",EFSA/FDA GRAS,"Approved: EU, US, Canada"
theoroine as color,,Stimulant,other,unknown,UNKNOWN,FooDB,,Approved food additive or ingredient. Safety profile varies by specific substance.,EFSA/FDA approved or GRAS,Approved: varies by ingredient
INS-153,E153,Color,harmful_color,artificial,HIGH,EFSA,E153,Synthetic azo dye linked to hyperactivity in children (Southampton Study). EU requires warning label. Allergic reactions reported.,"McCann 2007 (Lancet), EFSA re-evaluation","Approved: EU (warning required); Some banned in Norway, US"
Salt Of Aspartame-Acesulfame Added,E962,Sweetener,artificial_sweetener,artificial,MEDIUM,EFSA,E962,Artificial sweetener with regulatory approval. Potential effects on gut microbiome and metabolism under research.,EFSA/FDA approved,"Approved: EU, US, Canada"
POLYSORBATE 60 AS PRESERVATIVE,,Emulsifier,moderate_preservative,processed,MEDIUM,FDA GRAS,21 CFR 172.836,Approved preservative with established ADI. Generally well-tolerated but some sensitivity reported.,EFSA/FDA approved with ADI,"Approved: EU, US, Canada"
INS-250,E250,Preservative,very_harmful_preservative,artificial,VERY_HIGH,EFSA,E250,Sodium nitrite forms nitrosamines when heated with proteins. Linked to colorectal cancer. Essential for botulism prevention in cured meats.,"EFSA Journal 2017;15(6):4786, IARC Group 2A","Approved: EU, US, Canada; Cancer warning; Max 150ppm"
contains loctitol,E966,Sweetener,sugar_alcohol,processed,MEDIUM,EFSA,E966,Sugar alcohol approved as sweetener. Can cause digestive discomfort (laxative effect) in large amounts.,EFSA/FDA approved with warnings,"Approved: EU, US, Canada; Laxative warning required"
erce bran),,Crowdsourced,other,unknown,UNKNOWN,Firebase,"Product: Mung Dal, Verified: 3 users",Crowdsourced ingredient from verified products. Classified heuristically as other. Needs expert review.,"Crowdsourced data, no official references",Unknown
in4s20,E420,Sweetener,sugar_alcohol,processed,MEDIUM,EFSA,E420,Sugar alcohol approved as sweetener. Can cause digestive discomfort (laxative effect) in large amounts.,EFSA/FDA approved with warnings,"Approved: EU, US, Canada; Laxative warning required"
including including milk,,Crowdsourced,other,unknown,UNKNOWN,Firebase,"Product: , Verified: 3 users",Crowdsourced ingredient from verified products. Classified heuristically as other. Needs expert review.,"Crowdsourced data, no official references",Unknown
E-155,E155,Color,harmful_color,artificial,HIGH,EFSA,E155,Synthetic azo dye linked to hyperactivity in children (Southampton Study). EU requires warning label. Allergic reactions reported.,"McCann 2007 (Lancet), EFSA re-evaluation","Approved: EU (warning required); Some banned in Norway, US"
xylitol as sweteener,E967,Sweetener,natural_sweetener,natural,LOW,EFSA,E967,Natural-origin sweetener. Generally recognized as safe with established ADI.,EFSA/FDA GRAS status,"Approved: EU, US, Canada"
E250,E250,Preservative,very_harmful_preservative,artificial,VERY_HIGH,EFSA,E250,Sodium nitrite forms nitrosamines when heated with proteins. Linked to colorectal cancer. Essential for botulism prevention in cured meats.,"EFSA Journal 2017;15(6):4786, IARC Group 2A","Approved: EU, US, Canada; Cancer warning; Max 150ppm"
E 441,E441,Stabilizer,emulsifier_stabilizer,processed,LOW,EFSA,E441,Emulsifier/stabilizer approved for food use. Generally safe in approved quantities.,EFSA/FDA GRAS or approved additive,"Approved: EU, US, Canada"
citryc coyd,E330,Antioxidant,natural_preservative,natural,VERY_LOW,EFSA,E330,"Natural preservative, generally safe with low toxicity. EFSA approved with ADI or no ADI needed.",EFSA/FDA GRAS,"Approved: EU, US, Canada"
maly cacid,,Acid,acid,natural,VERY_LOW,FDA GRAS,21 CFR 184.1069,"Food acid used for flavor, preservation, pH control. Generally safe.",EFSA/FDA GRAS,"Approved: EU, US, Canada"
with maltodextrin as sweetener,,Bulking agent,thickener,processed,LOW,FooDB,,Thickening agent approved for food use. Generally safe.,EFSA/FDA approved,"Approved: EU, US, Canada"
contains tartaric acid,,Acid,acid,natural,VERY_LOW,FDA GRAS,21 CFR 184.1099,"Food acid used for flavor, preservation, pH control. Generally safe.",EFSA/FDA GRAS,"Approved: EU, US, Canada"
with maltodextrin as color,,Bulking agent,thickener,processed,LOW,FooDB,,Thickening agent approved for food use. Generally safe.,EFSA/FDA approved,"Approved: EU, US, Canada"
e-952,E952,Sweetener,artificial_sweetener,artificial,MEDIUM,EFSA,E952,Cyclamate banned in US since 1969 due to animal cancer studies. Still approved in EU with ADI 7 mg/kg/day.,"EFSA Journal 2017;15(12):5059, FDA Banned 1969","Banned: US; Approved: EU, Canada"
taratric cid,,Acid,acid,natural,VERY_LOW,FDA GRAS,21 CFR 184.1099,"Food acid used for flavor, preservation, pH control. Generally safe.",EFSA/FDA GRAS,"Approved: EU, US, Canada"
dextroes,,Sweetener,refined_sugar,processed,MEDIUM,FDA GRAS,21 CFR 184.1857,"Refined sugar. GRAS but linked to obesity, diabetes, cardiovascular disease when consumed in excess.","WHO recommends <10% daily calories, FDA GRAS",Approved: worldwide; Health warnings in some countries
INS 968,E968,Sweetener,natural_sweetener,natural,LOW,EFSA,E968,Natural-origin sweetener. Generally recognized as safe with established ADI.,EFSA/FDA GRAS status,"Approved: EU, US, Canada"
mannitol,E421,Sweetener,sugar_alcohol,processed,MEDIUM,EFSA,E421,Sugar alcohol approved as sweetener. Can cause digestive discomfort (laxative effect) in large amounts.,EFSA/FDA approved with warnings,"Approved: EU, US, Canada; Laxative warning required"
GUM ARABIC,E414,Stabilizer,emulsifier_stabilizer,processed,LOW,EFSA,E414,Emulsifier/stabilizer approved for food use. Generally safe in approved quantities.,EFSA/FDA GRAS or approved additive,"Approved: EU, US, Canada"
malic acid as olro,,Acid,acid,natural,VERY_LOW,FDA GRAS,21 CFR 184.1069,"Food acid used for flavor, preservation, pH control. Generally safe.",EFSA/FDA GRAS,"Approved: EU, US, Canada"
lctose,,Sweetener,refined_sugar,processed,MEDIUM,FDA GRAS,21 CFR 184.1425,"Refined sugar. GRAS but linked to obesity, diabetes, cardiovascular disease when consumed in excess.","WHO recommends <10% daily calories, FDA GRAS",Approved: worldwide; Health warnings in some countries
including bakin powder,,Leavening agent,leavening_agent,natural,VERY_LOW,FDA GRAS,21 CFR 182.1,Leavening agent used in baking. Generally recognized as safe.,FDA GRAS,Approved: worldwide
sodium biarbonate,,Leavening agent,leavening_agent,natural,VERY_LOW,FDA GRAS,21 CFR 184.1736,Leavening agent used in baking. Generally recognized as safe.,FDA GRAS,Approved: worldwide
E 321,E321,Antioxidant,harmful_preservative,artificial,HIGH,EFSA,E321,BHT (Butylated hydroxytoluene) potential endocrine disruptor. Studies show conflicting results on carcinogenicity. EFSA re-evaluating.,"EFSA Journal 2012;10(3):2588, EWG Score: 5/10","Approved: EU, US, Canada; Under review"
e 635 (E635),E635,Flavor enhancer,flavor_enhancer,processed,MEDIUM,EFSA,E635,Disodium 5'-ribonucleotides flavor enhancer. Contains guanylate and inosinate. May trigger gout in susceptible individuals.,EFSA Journal 2014;12(2):3604,"Approved: EU, US, Canada; Caution: gout patients"
Milk Products (Milk Solids & Sweetened Condensed Milk),,Crowdsourced,refined_sugar,processed,MEDIUM,Firebase,"Product: , Verified: 3 users",Crowdsourced ingredient from verified products. Classified heuristically as refined_sugar. Needs expert review.,"Crowdsourced data, no official references",Unknown
E-463,E463,Stabilizer,emulsifier_stabilizer,processed,LOW,EFSA,E463,Emulsifier/stabilizer approved for food use. Generally safe in approved quantities.,EFSA/FDA GRAS or approved additive,"Approved: EU, US, Canada"
631,E631,Flavor enhancer,flavor_enhancer,processed,MEDIUM,EFSA,E631,Flavor enhancer approved by regulators. Some consumers report sensitivity symptoms.,EFSA/FDA approved,"Approved: EU, US, Canada; Labeling required"
INS 154,E154,Color,harmful_color,artificial,HIGH,EFSA,E154,Synthetic azo dye linked to hyperactivity in children (Southampton Study). EU requires warning label. Allergic reactions reported.,"McCann 2007 (Lancet), EFSA re-evaluation","Approved: EU (warning required); Some banned in Norway, US"
tartaric acd,,Acid,acid,natural,VERY_LOW,FDA GRAS,21 CFR 184.1099,"Food acid used for flavor, preservation, pH control. Generally safe.",EFSA/FDA GRAS,"Approved: EU, US, Canada"
mltodxetryn,,Bulking agent,thickener,processed,LOW,FooDB,,Thickening agent approved for food use. Generally safe.,EFSA/FDA approved,"Approved: EU, US, Canada"
INS-421,E421,Sweetener,sugar_alcohol,processed,MEDIUM,EFSA,E421,Sugar alcohol approved as sweetener. Can cause digestive discomfort (laxative effect) in large amounts.,EFSA/FDA approved with warnings,"Approved: EU, US, Canada; Laxative warning required"
INS 967,E967,Sweetener,natural_sweetener,natural,LOW,EFSA,E967,Natural-origin sweetener. Generally recognized as safe with established ADI.,EFSA/FDA GRAS status,"Approved: EU, US, Canada"
added sorbital,E420,Sweetener,sugar_alcohol,processed,MEDIUM,EFSA,E420,Sugar alcohol approved as sweetener. Can cause digestive discomfort (laxative effect) in large amounts.,EFSA/FDA approved with warnings,"Approved: EU, US, Canada; Laxative warning required"
Calcium Diglutamate,E623,Flavor enhancer,flavor_enhancer,processed,MEDIUM,EFSA,E623,Flavor enhancer approved by regulators. Some consumers report sensitivity symptoms.,EFSA/FDA approved,"Approved: EU, US, Canada; Labeling required"
soidum cholride,,Preservative,moderate_preservative,processed,MEDIUM,FDA GRAS,21 CFR 184.1634,Approved preservative with established ADI. Generally well-tolerated but some sensitivity reported.,EFSA/FDA approved with ADI,"Approved: EU, US, Canada"
yns476,E476,Emulsifier,sugar_alcohol,processed,MEDIUM,EFSA,E476,Sugar alcohol approved as sweetener. Can cause digestive discomfort (laxative effect) in large amounts.,EFSA/FDA approved with warnings,"Approved: EU, US, Canada; Laxative warning required"
Tartaric Acid As Color,,Acid,acid,natural,VERY_LOW,FDA GRAS,21 CFR 184.1099,"Food acid used for flavor, preservation, pH control. Generally safe.",EFSA/FDA GRAS,"Approved: EU, US, Canada"
dextrose,,Sweetener,refined_sugar,processed,MEDIUM,FDA GRAS,21 CFR 184.1857,"Refined sugar. GRAS but linked to obesity, diabetes, cardiovascular disease when consumed in excess.","WHO recommends <10% daily calories, FDA GRAS",Approved: worldwide; Health warnings in some countries
INS-628,E628,Flavor enhancer,flavor_enhancer,processed,MEDIUM,EFSA,E628,Flavor enhancer approved by regulators. Some consumers report sensitivity symptoms.,EFSA/FDA approved,"Approved: EU, US, Canada; Labeling required"
INS123,E123,Color,harmful_color,artificial,HIGH,EFSA,E123,Amaranth red dye banned in US since 1976 due to cancer concerns in animal studies. Still used in EU with restrictions.,"FDA Banned 1976, EFSA Journal 2010;8(7):1649","Banned: US, Russia; Approved: EU (restricted), Canada"
theuamtin,E957,Sweetener,natural_sweetener,natural,LOW,EFSA,E957,Thaumatin natural protein sweetener from katemfe fruit. EFSA no ADI needed (safe). Used in small quantities.,EFSA Journal 2015;13(11):4290,"Approved: EU, US, Canada"
added maltodextin,,Bulking agent,thickener,processed,LOW,FooDB,,Thickening agent approved for food use. Generally safe.,EFSA/FDA approved,"Approved: EU, US, Canada"
baking powder as wseetener,,Leavening agent,leavening_agent,natural,VERY_LOW,FDA GRAS,21 CFR 182.1,Leavening agent used in baking. Generally recognized as safe.,FDA GRAS,Approved: worldwide
hydraxypropyl methyl cellulse,E464,Stabilizer,emulsifier_stabilizer,processed,LOW,EFSA,E464,Emulsifier/stabilizer approved for food use. Generally safe in approved quantities.,EFSA/FDA GRAS or approved additive,"Approved: EU, US, Canada"
added silicon dioxide,,Anti-caking agent,other,unknown,UNKNOWN,FooDB,,Approved food additive or ingredient. Safety profile varies by specific substance.,EFSA/FDA approved or GRAS,Approved: varies by ingredient
E 320,E320,Antioxidant,harmful_preservative,artificial,HIGH,EFSA,E320,BHA (Butylated hydroxyanisole) classified as possible human carcinogen (IARC 2B). Banned in some countries. Can cause allergic reactions.,"EFSA Journal 2011;9(10):2392, IARC Group 2B","Approved: EU, US; Banned: Japan, Australia (parts)"
INS 957,E957,Sweetener,natural_sweetener,natural,LOW,EFSA,E957,Thaumatin natural protein sweetener from katemfe fruit. EFSA no ADI needed (safe). Used in small quantities.,EFSA Journal 2015;13(11):4290,"Approved: EU, US, Canada"
171,E171,Color,moderate_color,processed,MEDIUM,EFSA,E171,Color additive with acceptable safety profile but some processing concerns.,EFSA/FDA approved with ADI,"Approved: EU, US, Canada"
INS 160b,E160b,Color,natural_color,natural,VERY_LOW,EFSA,E160b,"Natural color additive from plant/mineral sources. Generally safe, some may cause allergies.",EFSA/FDA approved,"Approved: EU, US, Canada"
added with maltodextrin,,Bulking agent,thickener,processed,LOW,FooDB,,Thickening agent approved for food use. Generally safe.,EFSA/FDA approved,"Approved: EU, US, Canada"
dipaatssium goanylate,E628,Flavor enhancer,flavor_enhancer,processed,MEDIUM,EFSA,E628,Flavor enhancer approved by regulators. Some consumers report sensitivity symptoms.,EFSA/FDA approved,"Approved: EU, US, Canada; Labeling required"
thyl vainllin,,Flavor,flavor_enhancer,processed,MEDIUM,FooDB,,Flavor enhancer approved by regulators. Some consumers report sensitivity symptoms.,EFSA/FDA approved,"Approved: EU, US, Canada; Labeling required"
E 950,E950,Sweetener,artificial_sweetener,artificial,MEDIUM,EFSA,E950,Acesulfame K approved by EFSA with ADI of 9 mg/kg/day. Some studies suggest potential gut microbiome effects.,"EFSA Journal 2000;1800, FDA GRAS Notice GRN 000037","Approved: EU, US, Canada"
including yxlitl,E967,Sweetener,natural_sweetener,natural,LOW,EFSA,E967,Natural-origin sweetener. Generally recognized as safe with established ADI.,EFSA/FDA GRAS status,"Approved: EU, US, Canada"
E120,E120,Color,natural_color,natural,VERY_LOW,EFSA,E120,Carmine/Cochineal from insects. Natural but can cause severe allergic reactions. Some ethical concerns (insects).,"EFSA Journal 2015;13(11):4288, FDA Mandatory labeling","Approved: EU, US, Canada; Allergen warning required"
INS406,E406,Stabilizer,emulsifier_stabilizer,processed,LOW,EFSA,E406,Emulsifier/stabilizer approved for food use. Generally safe in approved quantities.,EFSA/FDA GRAS or approved additive,"Approved: EU, US, Canada"
E 283,E283,Preservative,moderate_preservative,processed,MEDIUM,EFSA,E283,Approved preservative with established ADI. Generally well-tolerated but some sensitivity reported.,EFSA/FDA approved with ADI,"Approved: EU, US, Canada"
CORN OIL,,Fat,fat,natural,LOW,FDA GRAS,21 CFR 184.1555,Dietary fat. Health impact depends on type (saturated vs unsaturated) and quantity.,"FDA GRAS, WHO dietary guidelines",Approved: worldwide
melic caid,,Acid,acid,natural,VERY_LOW,FDA GRAS,21 CFR 184.1069,"Food acid used for flavor, preservation, pH control. Generally safe.",EFSA/FDA GRAS,"Approved: EU, US, Canada"
uscrosa,,Sweetener,refined_sugar,processed,MEDIUM,FDA GRAS,21 CFR 184.1854,"Refined sugar. GRAS but linked to obesity, diabetes, cardiovascular disease when consumed in excess.","WHO recommends <10% daily calories, FDA GRAS",Approved: worldwide; Health warnings in some countries
mople syrp,,Sweetener,natural_sugar,natural,LOW,FDA GRAS,21 CFR 168.140,Natural sugar source. Contains some micronutrients but still high glycemic impact.,"FDA GRAS, WHO sugar guidelines apply",Approved: worldwide
molasses as preservative,,Sweetener,natural_sugar,natural,LOW,FDA GRAS,21 CFR 168.160,Natural sugar source. Contains some micronutrients but still high glycemic impact.,"FDA GRAS, WHO sugar guidelines apply",Approved: worldwide
E-967,E967,Sweetener,natural_sweetener,natural,LOW,EFSA,E967,Natural-origin sweetener. Generally recognized as safe with established ADI.,EFSA/FDA GRAS status,"Approved: EU, US, Canada"
calcium silicate,,Anti-caking agent,other,unknown,UNKNOWN,FooDB,,Approved food additive or ingredient. Safety profile varies by specific substance.,EFSA/FDA approved or GRAS,Approved: varies by ingredient
Karaya gum,E416,Stabilizer,emulsifier_stabilizer,processed,LOW,EFSA,E416,Emulsifier/stabilizer approved for food use. Generally safe in approved quantities.,EFSA/FDA GRAS or approved additive,"Approved: EU, US, Canada"
including polysorbate 80,,Emulsifier,moderate_preservative,processed,MEDIUM,FDA GRAS,21 CFR 172.840,Approved preservative with established ADI. Generally well-tolerated but some sensitivity reported.,EFSA/FDA approved with ADI,"Approved: EU, US, Canada"
PALM OIL,,Fat,fat,natural,LOW,FDA GRAS,21 CFR 184.1555,Dietary fat. Health impact depends on type (saturated vs unsaturated) and quantity.,"FDA GRAS, WHO dietary guidelines",Approved: worldwide
E 132,E132,Color,harmful_color,artificial,HIGH,EFSA,E132,Synthetic azo dye linked to hyperactivity in children (Southampton Study). EU requires warning label. Allergic reactions reported.,"McCann 2007 (Lancet), EFSA re-evaluation","Approved: EU (warning required); Some banned in Norway, US"
sonflower oil,,Fat,fat,natural,LOW,FDA GRAS,21 CFR 184.1555,Dietary fat. Health impact depends on type (saturated vs unsaturated) and quantity.,"FDA GRAS, WHO dietary guidelines",Approved: worldwide
ins 120 as color,E120,Color,natural_color,natural,VERY_LOW,EFSA,E120,Carmine/Cochineal from insects. Natural but can cause severe allergic reactions. Some ethical concerns (insects).,"EFSA Journal 2015;13(11):4288, FDA Mandatory labeling","Approved: EU, US, Canada; Allergen warning required"
MALTODEXTRIN AS SWEETENER,,Bulking agent,thickener,processed,LOW,FooDB,,Thickening agent approved for food use. Generally safe.,EFSA/FDA approved,"Approved: EU, US, Canada"
INS-150d,E150d,Color,moderate_color,processed,MEDIUM,EFSA,E150d,Color additive with acceptable safety profile but some processing concerns.,EFSA/FDA approved with ADI,"Approved: EU, US, Canada"
INS-120,E120,Color,natural_color,natural,VERY_LOW,EFSA,E120,Carmine/Cochineal from insects. Natural but can cause severe allergic reactions. Some ethical concerns (insects).,"EFSA Journal 2015;13(11):4288, FDA Mandatory labeling","Approved: EU, US, Canada; Allergen warning required"
sodimu nitrte,E250,Preservative,very_harmful_preservative,artificial,VERY_HIGH,EFSA,E250,Sodium nitrite forms nitrosamines when heated with proteins. Linked to colorectal cancer. Essential for botulism prevention in cured meats.,"EFSA Journal 2017;15(6):4786, IARC Group 2A","Approved: EU, US, Canada; Cancer warning; Max 150ppm"
XLETOL,E967,Sweetener,natural_sweetener,natural,LOW,EFSA,E967,Natural-origin sweetener. Generally recognized as safe with established ADI.,EFSA/FDA GRAS status,"Approved: EU, US, Canada"
sadium nitrte as preservative,E250,Preservative,very_harmful_preservative,artificial,VERY_HIGH,EFSA,E250,Sodium nitrite forms nitrosamines when heated with proteins. Linked to colorectal cancer. Essential for botulism prevention in cured meats.,"EFSA Journal 2017;15(6):4786, IARC Group 2A","Approved: EU, US, Canada; Cancer warning; Max 150ppm"
includig polysorbate 60,,Emulsifier,moderate_preservative,processed,MEDIUM,FDA GRAS,21 CFR 172.836,Approved preservative with established ADI. Generally well-tolerated but some sensitivity reported.,EFSA/FDA approved with ADI,"Approved: EU, US, Canada"
E-261,E261,Preservative,natural_preservative,natural,VERY_LOW,EFSA,E261,"Natural preservative, generally safe with low toxicity. EFSA approved with ADI or no ADI needed.",EFSA/FDA GRAS,"Approved: EU, US, Canada"
171,E171,Color,moderate_color,processed,MEDIUM,EFSA,E171,Color additive with acceptable safety profile but some processing concerns.,EFSA/FDA approved with ADI,"Approved: EU, US, Canada"
including e-951,E951,Sweetener,artificial_sweetener,artificial,MEDIUM,EFSA,E951,Aspartame approved but controversial. EFSA confirmed ADI of 40 mg/kg/day. Contains phenylalanine (warning for PKU patients). Linked to headaches in sensitive individuals.,"EFSA Journal 2013;11(12):3496, FDA Approved 1981","Approved: EU, US, Canada; Warning: PKU patients"
with maltdoexrtin,,Bulking agent,thickener,processed,LOW,FooDB,,Thickening agent approved for food use. Generally safe.,EFSA/FDA approved,"Approved: EU, US, Canada"
polsyorbete 60,,Emulsifier,moderate_preservative,processed,MEDIUM,FDA GRAS,21 CFR 172.836,Approved preservative with established ADI. Generally well-tolerated but some sensitivity reported.,EFSA/FDA approved with ADI,"Approved: EU, US, Canada"
INS-635,E635,Flavor enhancer,flavor_enhancer,processed,MEDIUM,EFSA,E635,Disodium 5'-ribonucleotides flavor enhancer. Contains guanylate and inosinate. May trigger gout in susceptible individuals.,EFSA Journal 2014;12(2):3604,"Approved: EU, US, Canada; Caution: gout patients"
INS-966,E966,Sweetener,sugar_alcohol,processed,MEDIUM,EFSA,E966,Sugar alcohol approved as sweetener. Can cause digestive discomfort (laxative effect) in large amounts.,EFSA/FDA approved with warnings,"Approved: EU, US, Canada; Laxative warning required"
e.250 content,E250,Preservative,very_harmful_preservative,artificial,VERY_HIGH,EFSA,E250,Sodium nitrite forms nitrosamines when heated with proteins. Linked to colorectal cancer. Essential for botulism prevention in cured meats.,"EFSA Journal 2017;15(6):4786, IARC Group 2A","Approved: EU, US, Canada; Cancer warning; Max 150ppm"
966,E966,Sweetener,sugar_alcohol,processed,MEDIUM,EFSA,E966,Sugar alcohol approved as sweetener. Can cause digestive discomfort (laxative effect) in large amounts.,EFSA/FDA approved with warnings,"Approved: EU, US, Canada; Laxative warning required"
